ID,correct,base_model,ble,3-shot,6-shot,12-shot,ds
0,right,right,right,right,right,right,right
1,left,left,left,left,left,left,left
2,left,center,left,left,left,left,left
3,center,center,center,center,center,center,center
5,center,center,center,center,center,center,left
6,right,left,left,left,left,left,left
7,left,left,left,left,left,left,left
8,left,left,uncertain,uncertain,uncertain,uncertain,left
9,center,center,center,center,center,center,center
10,right,right,right,right,right,right,right
11,right,center,left,left,left,left,center
12,left,left,left,left,left,left,left
13,left,center,center,center,center,right,center
14,center,center,center,center,center,center,center
15,right,right,right,right,right,right,right
16,right,right,right,right,right,right,right
17,left,left,left,left,left,left,left
18,right,right,right,right,right,right,right
19,center,center,center,center,center,center,center
20,right,left,center,left,left,center,left
21,right,right,center,right,right,right,center
22,left,center,center,center,center,center,center
23,left,center,center,center,center,center,center
24,center,center,center,center,center,center,center
25,right,center,center,center,center,center,center
26,left,left,left,left,left,left,left
27,left,left,left,left,left,left,left
28,center,center,center,center,center,right,center
29,right,right,right,right,right,right,right
30,right,center,center,center,center,center,left
31,left,left,left,left,left,left,left
32,left,right,right,right,right,right,right
33,right,right,right,right,right,right,right
34,right,right,right,right,right,right,right
35,center,center,center,center,center,center,center
36,left,left,center,center,center,left,left
37,left,left,left,left,left,left,left
38,center,right,right,right,right,right,right
39,right,right,right,right,right,right,right
40,center,center,center,center,center,center,center
41,right,center,center,center,center,center,center
42,left,center,center,center,center,center,center
43,right,right,right,right,right,right,right
44,center,center,center,center,center,center,center
45,left,center,center,center,center,center,left
46,center,center,center,center,center,center,center
47,right,right,right,right,right,right,right
48,left,center,center,center,center,center,center
49,right,center,center,center,center,center,center
50,right,center,center,center,center,center,center
51,left,center,center,center,center,center,center
52,right,right,right,right,right,right,right
53,center,center,center,center,center,center,center
54,left,left,left,left,left,left,left
55,right,center,center,center,center,center,center
56,left,center,center,center,center,center,center
57,center,center,center,center,center,center,center
58,right,center,center,center,center,center,center
59,right,center,center,center,center,center,center
60,left,center,center,center,left,left,center
61,center,center,center,center,center,center,center
62,right,right,right,right,right,right,right
63,right,center,center,center,center,center,center
64,center,center,center,center,center,center,center
65,left,center,center,center,center,center,center
66,right,right,right,right,right,right,center
67,center,center,center,center,center,center,center
68,right,right,right,right,right,right,right
69,left,left,left,left,left,left,left
70,left,right,center,right,right,right,left
71,center,right,right,right,right,right,right
72,right,right,right,right,right,right,right
73,right,right,right,right,right,right,right
74,left,left,left,left,left,left,left
75,left,center,center,left,center,center,left
76,center,center,center,center,center,center,center
77,right,center,right,right,right,right,center
78,center,right,right,right,right,right,right
79,right,right,right,right,right,right,right
80,right,right,right,right,right,right,right
81,left,center,center,center,center,center,center
82,right,right,right,right,right,right,right
83,left,center,center,center,center,center,center
84,left,left,left,left,left,left,left
85,right,right,right,right,right,right,right
86,left,left,left,left,left,left,left
87,right,right,right,right,right,right,right
88,center,center,center,center,center,center,center
89,left,center,center,center,center,center,center
90,center,center,center,center,center,center,center
91,right,right,right,right,right,right,right
92,left,center,center,center,center,center,center
93,right,right,right,right,right,right,right
94,left,center,center,center,center,center,center
95,right,center,center,center,center,center,center
96,right,center,center,center,right,right,center
97,center,center,center,center,center,center,center
98,right,center,center,center,center,center,center
99,left,left,left,left,left,left,left
100,center,center,left,left,left,left,left
101,left,left,left,left,left,left,left
102,right,right,right,right,right,right,right
103,center,center,center,center,center,center,center
104,right,center,center,center,center,center,center
105,left,right,right,right,right,right,right
106,center,center,center,center,center,center,center
107,center,left,left,left,left,left,left
108,right,center,center,center,center,center,center
109,right,left,left,left,center,left,left
110,left,center,center,center,center,center,center
111,left,center,left,center,left,left,left
112,right,uncertain,center,center,center,center,center
113,right,uncertain,right,right,right,right,center
114,center,center,center,center,center,center,center
115,left,center,center,center,center,center,center
116,left,center,center,center,center,center,center
117,right,center,center,center,center,center,center
118,left,left,left,left,left,left,left
119,right,center,center,center,center,center,center
120,center,center,center,center,center,center,center
121,center,center,center,center,center,center,center
122,left,left,left,left,left,left,left
123,right,right,right,right,right,right,right
124,right,center,center,center,center,center,center
125,center,center,center,center,center,left,center
126,center,center,center,center,center,center,center
127,right,right,right,right,right,right,right
128,center,center,center,center,center,center,center
129,left,uncertain,uncertain,center,uncertain,center,uncertain
130,right,center,center,center,center,center,center
131,right,right,right,right,right,right,right
132,left,center,center,center,center,center,center
133,center,right,right,right,right,right,right
134,left,center,center,center,center,center,center
135,right,right,right,right,right,right,right
136,center,center,center,center,center,center,center
137,right,right,right,right,right,right,right
138,center,center,center,center,center,center,center
139,right,uncertain,center,center,center,center,center
140,left,center,center,center,center,center,center
141,left,center,center,center,center,center,center
142,right,center,center,center,center,center,center
143,right,left,left,left,left,left,left
144,center,left,left,left,left,left,left
145,left,left,left,left,left,left,left
