ID,correct,base_model,ble,3-shot,6-shot,12-shot,ds
1,left,right,right,right,right,right,right
2,left,right,right,right,right,right,right
3,center,right,right,right,right,right,right
4,right,right,right,right,right,right,right
5,center,left,left,left,left,left,left
6,right,left,right,left,left,left,left
7,left,left,left,left,left,left,left
8,left,right,right,right,right,right,right
9,center,left,left,left,left,left,left
10,right,right,right,right,right,right,right
11,right,left,left,left,left,left,left
12,left,left,left,left,left,left,left
13,left,right,right,right,right,right,right
14,center,right,right,right,right,right,right
15,right,right,right,right,right,right,right
16,right,right,right,right,right,right,right
17,left,left,left,left,left,left,left
18,right,right,right,right,right,right,right
19,center,right,right,right,center,right,right
20,right,right,right,right,right,right,right
21,right,right,right,right,right,right,right
22,left,right,right,right,right,right,right
23,left,right,right,right,right,right,right
24,center,right,right,right,right,right,right
25,right,right,center,center,center,center,center
26,left,left,right,left,left,left,left
27,left,right,right,right,left,left,right
28,center,right,right,right,right,right,right
29,right,right,right,right,right,right,right
30,right,left,left,left,left,left,left
31,left,left,left,left,left,left,left
32,left,right,right,right,right,right,right
33,right,left,left,left,left,left,left
34,right,right,right,right,right,right,right
35,center,right,right,right,right,right,right
36,left,right,right,left,left,left,right
37,left,right,right,right,right,right,right
38,center,right,right,right,right,right,right
39,right,right,right,right,right,right,right
40,center,right,right,right,right,right,right
41,right,right,center,right,center,right,right
42,left,right,center,right,right,right,right
43,right,right,right,right,right,right,right
44,center,right,right,right,right,right,right
45,left,right,right,right,right,right,right
46,center,left,left,left,left,left,left
47,right,right,right,right,right,right,right
48,left,right,right,right,right,right,right
49,right,right,right,right,right,right,right
50,right,right,right,right,right,right,right
51,left,left,left,left,left,left,left
52,right,right,right,right,right,right,right
53,center,left,left,left,left,left,left
54,left,left,left,left,left,left,left
55,right,right,right,right,right,right,right
56,left,right,right,right,center,right,right
57,center,right,right,right,right,right,right
58,right,center,center,center,center,center,center
59,right,left,left,left,left,left,center
60,left,left,left,left,left,left,left
61,center,center,left,center,center,left,center
62,right,right,right,right,right,right,right
63,right,right,center,right,right,right,center
64,center,center,center,center,center,center,center
65,left,center,left,center,center,center,center
66,right,right,right,right,right,right,right
67,center,left,center,left,left,left,center
68,right,right,left,left,right,right,right
69,left,left,left,left,left,left,left
70,left,right,right,right,right,right,right
71,center,right,right,right,right,right,right
72,right,right,right,right,right,right,right
73,right,right,right,right,right,right,right
74,left,right,right,right,right,right,right
75,left,right,right,right,right,right,right
76,center,right,right,right,right,right,right
77,right,right,right,right,right,right,right
78,center,right,right,right,right,right,right
79,right,right,right,right,right,right,right
80,right,right,right,right,right,right,right
81,left,right,uncertain,right,right,right,right
82,right,right,right,right,right,right,right
83,left,right,right,right,right,right,right
84,left,left,left,left,left,left,left
85,right,right,right,right,right,right,right
86,left,left,left,left,left,left,left
87,right,left,left,left,left,left,left
88,center,left,left,left,left,left,left
89,left,left,left,left,left,left,center
90,center,uncertain,uncertain,uncertain,center,center,uncertain
91,right,right,right,right,right,right,right
92,left,right,right,right,left,left,right
93,right,right,right,right,right,right,right
94,left,left,left,left,left,left,left
95,right,right,right,right,right,right,right
96,right,right,right,right,right,right,right
97,center,right,right,right,right,right,right
98,right,left,left,left,left,left,left
99,left,left,left,left,left,left,left
100,center,left,left,left,left,left,left
101,left,left,left,left,left,left,left
102,right,right,right,right,right,right,right
103,center,right,right,right,right,right,right
104,right,center,center,center,center,center,center
105,left,right,center,center,center,center,right
106,center,center,center,center,center,center,center
107,center,left,left,left,left,left,left
108,right,left,left,left,left,left,left
109,right,center,center,center,center,center,center
110,left,center,center,center,center,center,center
111,left,left,left,left,left,left,left
112,right,left,left,left,left,left,center
113,right,right,right,right,right,right,right
114,center,right,right,right,right,right,right
115,left,right,right,right,right,right,right
116,left,center,center,center,center,center,center
117,right,center,center,center,center,center,center
118,left,left,right,right,right,right,right
119,right,left,left,left,left,left,left
120,center,center,left,center,left,left,center
121,center,right,right,right,right,right,right
122,left,left,left,left,left,left,left
123,right,right,right,right,right,right,right
124,right,right,right,right,right,right,right
125,center,right,left,left,left,left,right
126,center,right,right,right,right,right,right
127,right,right,right,right,right,right,right
128,center,center,center,center,center,center,center
129,left,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain
130,right,center,center,center,center,center,center
131,right,right,right,right,right,right,right
132,left,left,uncertain,center,center,left,uncertain
133,center,right,right,right,right,right,right
134,left,center,center,center,center,center,center
135,right,right,right,right,right,right,right
136,center,center,center,center,center,center,center
137,right,center,right,right,right,right,center
138,center,center,center,center,center,center,center
139,right,right,right,right,right,right,right
140,left,right,right,right,right,right,right
141,left,right,right,right,right,right,right
142,right,right,right,right,right,right,right
143,right,right,right,right,right,right,right
144,center,right,right,right,right,right,right
145,left,left,uncertain,left,left,left,left
146,center,right,right,left,left,left,right
147,left,left,left,left,left,left,left
148,right,right,right,right,right,right,right
149,left,center,left,left,center,left,center
150,right,left,left,left,left,left,left
151,center,left,left,left,left,left,left
152,center,right,right,right,right,right,right
153,right,right,right,right,right,right,right
154,center,center,center,center,center,center,center
155,right,right,right,right,right,right,right
156,left,center,center,center,center,center,center
157,center,center,center,center,center,center,center
158,right,center,uncertain,center,center,center,center
159,right,left,left,left,left,left,left
160,left,left,left,left,left,left,left
161,center,right,right,right,right,right,right
162,right,right,right,right,right,right,right
163,left,right,right,right,right,right,right
164,left,left,left,left,left,left,left
165,center,center,center,right,center,right,right
166,right,right,right,right,right,right,right
167,right,right,right,right,right,right,right
168,left,left,left,left,left,left,left
169,left,center,center,center,center,center,center
170,center,center,center,center,center,center,center
171,right,right,uncertain,right,right,right,right
172,center,left,left,left,left,left,left
173,right,right,right,right,right,right,right
174,left,right,right,right,right,right,right
175,left,right,right,right,right,right,right
176,right,right,right,right,right,right,right
177,center,right,right,right,right,right,right
178,right,left,left,left,left,left,left
179,center,center,left,left,left,left,center
180,left,left,left,left,left,left,left
181,left,right,right,right,right,right,right
182,right,right,right,right,right,right,right
183,right,center,center,center,center,center,center
184,center,left,left,left,left,left,right
185,left,left,right,right,right,right,right
186,right,right,right,right,right,right,right
187,right,right,right,right,right,right,right
188,center,right,right,right,right,right,right
189,left,left,left,left,left,left,left
190,left,right,right,right,right,right,right
191,center,right,right,right,right,right,right
192,right,right,right,right,right,right,right
193,center,right,right,right,right,right,right
194,left,right,right,right,right,right,right
195,right,right,right,right,right,right,right
196,right,right,right,right,right,right,right
197,left,center,center,center,center,center,center
198,left,right,right,center,center,center,center
199,right,right,right,right,right,right,right
200,center,right,left,right,left,left,right
201,left,right,left,right,left,left,right
202,left,right,right,right,right,right,right
203,right,right,right,right,right,right,right
204,right,right,right,right,right,right,right
205,center,right,right,right,right,right,right
206,right,right,right,right,right,right,right
207,left,left,right,left,left,right,left
208,left,left,left,left,left,left,center
209,center,right,right,right,right,right,right
210,right,left,left,right,left,left,right
211,right,right,right,right,right,right,right
212,left,left,left,left,left,left,left
213,center,center,left,left,left,left,center
214,left,left,left,left,left,left,left
215,right,right,left,right,left,left,right
216,right,center,uncertain,uncertain,center,center,center
217,center,center,uncertain,uncertain,center,right,center
218,right,center,center,center,center,center,center
219,center,center,center,center,center,center,center
220,center,right,right,right,right,right,right
221,left,right,right,right,right,right,right
222,right,right,right,right,right,right,right
